,Country,Indicator,Gender,Education_Level,Wealth_Quintile,Residence,Data_Year,Percentage,Data_Source
137,Guinea-Bissau,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,17.050091,MICS 2018-19
140,Guyana,Completion rate for adolescents of lower secondary school age,Total,,,,2020.0,83.254868,MICS 2019-20
143,Haiti,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,35.051491,DHS 2016-17
146,Honduras,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,54.185829,MICS 2019
149,India,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,80.885002,DHS 2015-16
152,Indonesia,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,88.078247,DHS 2017
155,Iraq,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,46.400002,MICS 2018
158,Jordan,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,86.989372,DHS 2017-18
161,Kazakhstan,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,99.699997,MICS 2015
164,Kenya,Completion rate for adolescents of lower secondary school age,Total,,,,2014.0,64.800003,DHS 2014
167,Kiribati,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,78.095062,MICS 2018-19
170,Kosovo,Completion rate for adolescents of lower secondary school age,Total,,,,2020.0,96.4,MICS 2019-20
173,Kyrgyzstan,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,98.900002,MICS 2018
176,Lao People's Democratic Republic,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,53.540642,MIC 2017
185,Lesotho,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,44.299999,MICS 2018
188,Liberia,Completion rate for adolescents of lower secondary school age,Total,,,,2013.0,26.1,DHS 2013
191,Madagascar,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,26.4,MICS 2018
194,Malawi,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,22.200001,DHS 2015-16
197,Mali,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,30.299999,MICS 2015
200,Mauritania,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,45.948299,MICS 2015
203,Mexico,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,88.599998,ENIGH 2018
209,Mongolia,Completion rate for adolescents of lower secondary school age,Total,,,,2014.0,89.729523,MICS 2013-14
212,Montenegro,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,94.674019,MICS 2018
215,Myanmar,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,44.812,DHS 2015
218,Namibia,Completion rate for adolescents of lower secondary school age,Total,,,,2013.0,55.700001,DHS 2013
221,Nepal,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,73.09626,MICS 2019
224,Niger,Completion rate for adolescents of lower secondary school age,Total,,,,2012.0,5.8079791,DHS 2012
227,Nigeria,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,62.599998,DHS 2018
230,North Macedonia,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,93.983742,MICS 2018-19
233,Pakistan,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,49.58477,DHS 2017-18
236,Panama,Completion rate for adolescents of lower secondary school age,Total,,,,2013.0,77.5,MICS 2013
239,Paraguay,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,80.0,Encuesta Permanente de Hogares 2017
242,Peru,Completion rate for adolescents of lower secondary school age,Total,,,,2012.0,82.599998,DHS 2012
245,Philippines,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,81.121292,DHS 2017
248,Republic of Moldova,Completion rate for adolescents of lower secondary school age,Total,,,,2012.0,96.520393,MICS 2012
251,Rwanda,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,27.9,DHS 2014-15
254,Saint Lucia,Completion rate for adolescents of lower secondary school age,Total,,,,2012.0,91.810768,MICS 2012
257,Samoa,Completion rate for adolescents of lower secondary school age,Total,,,,2020.0,96.769867,MICS 2019-20
260,Sao Tome and Principe,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,59.905949,MICS 2019
263,Senegal,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,29.03483,DHS 2019
266,Serbia,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,99.528503,MICS 2019
269,Sierra Leone,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,44.200001,MICS 2017
272,South Africa,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,88.452599,DHS 2016
278,Sri Lanka,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,95.144829,DHS 2016
281,State of Palestine,Completion rate for adolescents of lower secondary school age,Total,,,,2020.0,86.03743,MICS 2019-20
287,Sudan,Completion rate for adolescents of lower secondary school age,Total,,,,2014.0,50.347809,MICS 2014
290,Suriname,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,49.374489,MICS 2018
293,Tajikistan,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,94.18676,DHS 2017
296,Thailand,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,86.207672,MICS 2019
299,Timor-Leste,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,66.03978,DHS 2016
302,Togo,Completion rate for adolescents of lower secondary school age,Total,,,,2017.0,47.39201,MICS 2017
305,Tonga,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,70.879173,MICS 2019
308,Tunisia,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,74.199997,MICS 2018
311,Turkmenistan,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,98.990723,MICS 2019
314,Turks and Caicos Islands,Completion rate for adolescents of lower secondary school age,Total,,,,2020.0,98.842407,MICS 2019-20
317,Tuvalu,Completion rate for adolescents of lower secondary school age,Total,,,,2020.0,81.838333,MICS 2019-20
320,Türkiye,Completion rate for adolescents of lower secondary school age,Total,,,,2013.0,93.942863,DHS style 2013
323,Uganda,Completion rate for adolescents of lower secondary school age,Total,,,,2016.0,24.91172,DHS 2016
326,Ukraine,Completion rate for adolescents of lower secondary school age,Total,,,,2012.0,99.599998,MICS 2012
329,United Republic of Tanzania,Completion rate for adolescents of lower secondary school age,Total,,,,2015.0,28.6,DHS 2015
332,Uruguay,Completion rate for adolescents of lower secondary school age,Total,,,,2013.0,68.528961,MICS 2012-13
335,Viet Nam,Completion rate for adolescents of lower secondary school age,Total,,,,2014.0,83.699997,MICS 2014
344,Yemen,Completion rate for adolescents of lower secondary school age,Total,,,,2013.0,46.299999,DHS 2013
347,Zambia,Completion rate for adolescents of lower secondary school age,Total,,,,2018.0,51.646271,DHS 2018
350,Zimbabwe,Completion rate for adolescents of lower secondary school age,Total,,,,2019.0,48.599998,MICS 2019
2,Albania,Out-of-school rate for children of primary school age,Total,,,,2020.0,3.84193,UIS
3,Algeria,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.177,UIS
4,Anguilla,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.77967,UIS
7,Antigua and Barbuda,Out-of-school rate for children of primary school age,Total,,,,2019.0,1.72715,UIS
8,Argentina,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.42247,UIS
11,Armenia,Out-of-school rate for children of primary school age,Total,,,,2020.0,10.47731,UIS
14,Australia,Out-of-school rate for children of primary school age,Total,,,,2020.0,1.45611,UIS
17,Austria,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.05623,UIS
20,Azerbaijan,Out-of-school rate for children of primary school age,Total,,,,2020.0,10.46286,UIS
23,Bahrain,Out-of-school rate for children of primary school age,Total,,,,2019.0,2.3445,UIS
26,Barbados,Out-of-school rate for children of primary school age,Total,,,,2020.0,2.65161,UIS
29,Belarus,Out-of-school rate for children of primary school age,Total,,,,2020.0,5.24426,UIS
32,Belgium,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.89266,UIS
35,Belize,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.15125,UIS
38,Benin,Out-of-school rate for children of primary school age,Total,,,,2020.0,6.72457,UIS
41,Bhutan,Out-of-school rate for children of primary school age,Total,,,,2020.0,3.65422,UIS
44,Bolivia (Plurinational State of),Out-of-school rate for children of primary school age,Total,,,,2020.0,4.9005,UIS
47,Bosnia and Herzegovina,Out-of-school rate for children of primary school age,Total,,,,2018.0,13.28474,UIS
50,Botswana,Out-of-school rate for children of primary school age,Total,,,,2017.0,8.94308,UIS
53,Brazil,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.57306,UIS
54,British Virgin Islands,Out-of-school rate for children of primary school age,Total,,,,2018.0,1.94647,UIS
57,Brunei Darussalam,Out-of-school rate for children of primary school age,Total,,,,2020.0,1.68117,UIS
60,Bulgaria,Out-of-school rate for children of primary school age,Total,,,,2019.0,14.60927,UIS
63,Burkina Faso,Out-of-school rate for children of primary school age,Total,,,,2020.0,24.50434,UIS
66,Burundi,Out-of-school rate for children of primary school age,Total,,,,2021.0,10.11094,UIS
69,Cabo Verde,Out-of-school rate for children of primary school age,Total,,,,2019.0,7.72343,UIS
72,Cambodia,Out-of-school rate for children of primary school age,Total,,,,2020.0,10.84626,UIS
75,Cameroon,Out-of-school rate for children of primary school age,Total,,,,2019.0,8.32815,UIS
76,Canada,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.27903,UIS
79,Chad,Out-of-school rate for children of primary school age,Total,,,,2019.0,26.15198,UIS
82,Chile,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.46204,UIS
85,Colombia,Out-of-school rate for children of primary school age,Total,,,,2020.0,1.20878,UIS
88,Comoros,Out-of-school rate for children of primary school age,Total,,,,2018.0,18.15451,UIS
91,Congo,Out-of-school rate for children of primary school age,Total,,,,2018.0,15.62949,UIS
94,Cook Islands,Out-of-school rate for children of primary school age,Total,,,,2016.0,0.79725,UIS
97,Costa Rica,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.07377,UIS
98,Croatia,Out-of-school rate for children of primary school age,Total,,,,2019.0,2.18771,UIS
101,Cuba,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.19751,UIS
104,Cyprus,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.50737,UIS
107,Czechia,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.86192,UIS
110,Côte d'Ivoire,Out-of-school rate for children of primary school age,Total,,,,2021.0,3.336088,UIS
113,Denmark,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.68426,UIS
116,Djibouti,Out-of-school rate for children of primary school age,Total,,,,2021.0,33.48467,UIS
119,Dominica,Out-of-school rate for children of primary school age,Total,,,,2020.0,0.89315,UIS
122,Dominican Republic,Out-of-school rate for children of primary school age,Total,,,,2020.0,4.10988,UIS
132,Ecuador,Out-of-school rate for children of primary school age,Total,,,,2020.0,1.37986,UIS
133,Egypt,Out-of-school rate for children of primary school age,Total,,,,2019.0,0.72737,UIS
136,El Salvador,Out-of-school rate for children of primary school age,Total,,,,2014.0,6.84121,UIS
139,Equatorial Guinea,Out-of-school rate for children of primary school age,Total,,,,2015.0,55.30304,UIS
142,Eritrea,Out-of-school rate for children of primary school age,Total,,,,2018.0,47.34818,UIS
145,Estonia,Out-of-school rate for children of primary school age,Total,,,,2019.0,2.49251,UIS
148,Eswatini,Out-of-school rate for children of primary school age,Total,,,,2019.0,15.22935,UIS
